site_no,SFR_class
15072000,1
15290000,3
15484000,2
15085100,1
15356000,3
15304000,2
15292000,3
15302000,3
15515500,3
15292700,3
15022000,2
15511000,2
15050000,3
15216000,3
15896000,2
15052500,3
15284000,3
15024800,3
15478040,3
15026000,3
15040000,3
15239050,3
15106920,1
15476000,3
15052000,3
15212000,3
15744500,2
15908000,3
15747000,2
15798700,2
15514000,2
15034000,3
15048000,2
15208000,3
15238600,3
15271000,3
15294005,2
15012000,1
15060000,1
15076000,1
15098000,2
15129500,1
15070000,1
15081497,1
15200280,2
15291000,3
15291200,3
15068000,1
15088000,2
15241600,1
15248000,3
15274000,3
15296000,3
15297610,1
15621000,2
15052800,2
15108000,1
15281000,3
15056100,3
15100000,3
15238978,3
15282000,3
15294300,3
15297200,1
15056210,3
15074000,1
15261000,2
15292400,3
15564900,2
15129000,3
15129600,1
15200000,3
15239060,2
15242000,3
15300300,3
15516000,3
15743850,2
15055500,3
15087690,1
15106980,1
15109000,2
15237730,1
15238820,2
15300000,3
15477740,2
15294350,3
15348000,2
15457800,2
15518080,2
15564879,2
15906000,2
15086600,1
15267900,3
15272280,3
15439800,2
15036000,3
15083500,1
15087570,1
15102000,1
15206000,3
