#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:41:14 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15072000     00060          FISH C NR KETCHIKAN AK
# USGS        15085100     00060          OLD TOM C NR KASAAN AK
# USGS        15290000     00060          L SUSITNA R NR PALMER AK
# USGS        15292000     00060          SUSITNA R AT GOLD CREEK AK
# USGS        15292700     00060          TALKEETNA R NR TALKEETNA AK
# USGS        15302000     00060          NUYAKUK R NR DILLINGHAM AK
# USGS        15304000     00060          KUSKOKWIM R AT CROOKED CREEK AK
# USGS        15356000     00060          YUKON R AT EAGLE AK
# USGS        15484000     00060          SALCHA R NR SALCHAKET AK
# USGS        15515500     00060          TANANA R AT NENANA AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15072000	00060	363		1	1	1916	2022	104	224
USGS	15072000	00060	363		1	2	1916	2022	104	212
USGS	15072000	00060	363		1	3	1916	2022	104	198
USGS	15072000	00060	363		1	4	1916	2022	104	200
USGS	15072000	00060	363		1	5	1916	2022	104	225
USGS	15072000	00060	363		1	6	1916	2022	104	248
USGS	15072000	00060	363		1	7	1916	2022	104	251
USGS	15072000	00060	363		1	8	1916	2022	104	233
USGS	15072000	00060	363		1	9	1916	2022	104	257
USGS	15072000	00060	363		1	10	1916	2022	104	233
USGS	15072000	00060	363		1	11	1916	2022	104	228
USGS	15072000	00060	363		1	12	1916	2022	104	245
USGS	15072000	00060	363		1	13	1916	2022	104	274
USGS	15072000	00060	363		1	14	1916	2022	104	267
USGS	15072000	00060	363		1	15	1916	2022	104	245
USGS	15072000	00060	363		1	16	1916	2022	104	270
USGS	15072000	00060	363		1	17	1916	2022	104	275
USGS	15072000	00060	363		1	18	1916	2022	104	267
USGS	15072000	00060	363		1	19	1916	2022	104	257
USGS	15072000	00060	363		1	20	1916	2022	104	248
USGS	15072000	00060	363		1	21	1916	2022	104	240
USGS	15072000	00060	363		1	22	1916	2022	104	244
USGS	15072000	00060	363		1	23	1916	2022	104	223
USGS	15072000	00060	363		1	24	1916	2022	104	228
USGS	15072000	00060	363		1	25	1916	2022	104	234
USGS	15072000	00060	363		1	26	1916	2022	104	215
USGS	15072000	00060	363		1	27	1916	2022	104	212
USGS	15072000	00060	363		1	28	1916	2022	104	225
USGS	15072000	00060	363		1	29	1916	2022	104	221
USGS	15072000	00060	363		1	30	1916	2022	104	193
USGS	15072000	00060	363		1	31	1916	2022	104	197
USGS	15072000	00060	363		2	1	1916	2022	104	185
USGS	15072000	00060	363		2	2	1916	2022	104	203
USGS	15072000	00060	363		2	3	1916	2022	104	204
USGS	15072000	00060	363		2	4	1916	2022	104	210
USGS	15072000	00060	363		2	5	1916	2022	104	220
USGS	15072000	00060	363		2	6	1916	2022	104	247
USGS	15072000	00060	363		2	7	1916	2022	104	217
USGS	15072000	00060	363		2	8	1916	2022	104	227
USGS	15072000	00060	363		2	9	1916	2022	104	218
USGS	15072000	00060	363		2	10	1916	2022	104	223
USGS	15072000	00060	363		2	11	1916	2022	104	220
USGS	15072000	00060	363		2	12	1916	2022	104	236
USGS	15072000	00060	363		2	13	1916	2022	104	234
USGS	15072000	00060	363		2	14	1916	2022	104	220
USGS	15072000	00060	363		2	15	1916	2022	104	203
USGS	15072000	00060	363		2	16	1916	2022	104	204
USGS	15072000	00060	363		2	17	1916	2022	104	196
USGS	15072000	00060	363		2	18	1916	2022	104	193
USGS	15072000	00060	363		2	19	1916	2022	104	188
USGS	15072000	00060	363		2	20	1916	2022	104	206
USGS	15072000	00060	363		2	21	1916	2022	104	231
