#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:54:27 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15036000     00060          SPEEL R NR JUNEAU AK
# USGS        15083500     00060          PERKINS C NR METLAKATLA AK
# USGS        15086600     00060          BIG C NR POINT BAKER AK
# USGS        15087570     00060          HAMILTON C NR KAKE AK
# USGS        15102000     00060          HASSELBORG C NR ANGOON AK
# USGS        15206000     00060          KLUTINA R AT COPPER CENTER AK
# USGS        15267900     00060          RESURRECTION C NR HOPE AK
# USGS        15272280     00060          PORTAGE C AT PORTAGE LK OUTLET NR WHITTIER AK
# USGS        15439800     00060          BOULDER C NR CENTRAL AK
# USGS        15906000     00060          SAGAVANIRKTOK R TRIB NR PUMP STA 3 AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15036000	00060	267		1	1	1917	1975	17	300
USGS	15036000	00060	267		1	2	1917	1975	17	308
USGS	15036000	00060	267		1	3	1917	1975	17	300
USGS	15036000	00060	267		1	4	1917	1975	17	270
USGS	15036000	00060	267		1	5	1917	1975	17	250
USGS	15036000	00060	267		1	6	1917	1975	17	250
USGS	15036000	00060	267		1	7	1917	1975	17	250
USGS	15036000	00060	267		1	8	1917	1975	17	250
USGS	15036000	00060	267		1	9	1917	1975	17	250
USGS	15036000	00060	267		1	10	1917	1975	17	250
USGS	15036000	00060	267		1	11	1917	1975	17	250
USGS	15036000	00060	267		1	12	1917	1975	17	240
USGS	15036000	00060	267		1	13	1917	1975	17	215
USGS	15036000	00060	267		1	14	1917	1975	17	200
USGS	15036000	00060	267		1	15	1917	1975	17	200
USGS	15036000	00060	267		1	16	1917	1975	17	200
USGS	15036000	00060	267		1	17	1917	1975	17	200
USGS	15036000	00060	267		1	18	1917	1975	17	200
USGS	15036000	00060	267		1	19	1917	1975	17	220
USGS	15036000	00060	267		1	20	1917	1975	17	210
USGS	15036000	00060	267		1	21	1917	1975	17	200
USGS	15036000	00060	267		1	22	1917	1975	17	300
USGS	15036000	00060	267		1	23	1917	1975	17	270
USGS	15036000	00060	267		1	24	1917	1975	17	270
USGS	15036000	00060	267		1	25	1917	1975	17	288
USGS	15036000	00060	267		1	26	1917	1975	17	280
USGS	15036000	00060	267		1	27	1917	1975	17	250
USGS	15036000	00060	267		1	28	1917	1975	17	220
USGS	15036000	00060	267		1	29	1917	1975	17	200
USGS	15036000	00060	267		1	30	1917	1975	17	215
USGS	15036000	00060	267		1	31	1917	1975	17	215
USGS	15036000	00060	267		2	1	1917	1975	17	206
USGS	15036000	00060	267		2	2	1917	1975	17	190
USGS	15036000	00060	267		2	3	1917	1975	17	190
USGS	15036000	00060	267		2	4	1917	1975	17	190
USGS	15036000	00060	267		2	5	1917	1975	17	200
USGS	15036000	00060	267		2	6	1917	1975	17	220
USGS	15036000	00060	267		2	7	1917	1975	17	230
USGS	15036000	00060	267		2	8	1917	1975	17	230
USGS	15036000	00060	267		2	9	1917	1975	17	240
USGS	15036000	00060	267		2	10	1917	1975	17	240
USGS	15036000	00060	267		2	11	1917	1975	17	230
USGS	15036000	00060	267		2	12	1917	1975	17	230
USGS	15036000	00060	267		2	13	1917	1975	17	228
USGS	15036000	00060	267		2	14	1917	1975	17	210
USGS	15036000	00060	267		2	15	1917	1975	17	210
USGS	15036000	00060	267		2	16	1917	1975	17	304
USGS	15036000	00060	267		2	17	1917	1975	17	300
USGS	15036000	00060	267		2	18	1917	1975	17	300
USGS	15036000	00060	267		2	19	1917	1975	17	350
USGS	15036000	00060	267		2	20	1917	1975	17	350
USGS	15036000	00060	267		2	21	1917	1975	17	350
USGS	15036000	00060	267		2	22	1917	1975	17	320
USGS	15036000	00060	267		2	23	1917	1975	17	300
USGS	15036000	00060	267		2	24	1917	1975	17	300
USGS	15036000	00060	267		2	25	1917	1975	17	300
USGS	15036000	00060	267		2	26	1917	1975	17	300
USGS	15036000	00060	267		2	27	1917	1975	17	300
USGS	15036000	00060	267		2	28	1917	1975	17	300
USGS	15036000	00060	267		2	29	1964	1972	3	580
