#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:43:27 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15022000     00060          HARDING R NR WRANGELL AK
# USGS        15024800     00060          STIKINE R NR WRANGELL AK
# USGS        15026000     00060          CASCADE C NR PETERSBURG AK
# USGS        15050000     00060          GOLD C AT JUNEAU AK
# USGS        15052500     00060          MENDENHALL R NR AUKE BAY AK
# USGS        15216000     00060          POWER C NR CORDOVA AK
# USGS        15284000     00060          MATANUSKA R AT PALMER AK
# USGS        15478040     00060          PHELAN C NR PAXSON AK
# USGS        15511000     00060          L CHENA R NR FAIRBANKS AK
# USGS        15896000     00060          KUPARUK R NR DEADHORSE AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15022000	00060	249		1	1	1952	2004	53	190
USGS	15022000	00060	249		1	2	1952	2004	53	180
USGS	15022000	00060	249		1	3	1952	2004	53	178
USGS	15022000	00060	249		1	4	1952	2004	53	161
USGS	15022000	00060	249		1	5	1952	2004	53	160
USGS	15022000	00060	249		1	6	1952	2004	53	160
USGS	15022000	00060	249		1	7	1952	2004	53	168
USGS	15022000	00060	249		1	8	1952	2004	53	148
USGS	15022000	00060	249		1	9	1952	2004	53	139
USGS	15022000	00060	249		1	10	1952	2004	53	140
USGS	15022000	00060	249		1	11	1952	2004	53	143
USGS	15022000	00060	249		1	12	1952	2004	53	150
USGS	15022000	00060	249		1	13	1952	2004	53	150
USGS	15022000	00060	249		1	14	1952	2004	53	168
USGS	15022000	00060	249		1	15	1952	2004	53	176
USGS	15022000	00060	249		1	16	1952	2004	53	181
USGS	15022000	00060	249		1	17	1952	2004	53	170
USGS	15022000	00060	249		1	18	1952	2004	53	160
USGS	15022000	00060	249		1	19	1952	2004	53	160
USGS	15022000	00060	249		1	20	1952	2004	53	162
USGS	15022000	00060	249		1	21	1952	2004	53	141
USGS	15022000	00060	249		1	22	1952	2004	53	166
USGS	15022000	00060	249		1	23	1952	2004	53	172
USGS	15022000	00060	249		1	24	1952	2004	53	170
USGS	15022000	00060	249		1	25	1952	2004	53	183
USGS	15022000	00060	249		1	26	1952	2004	53	170
USGS	15022000	00060	249		1	27	1952	2004	53	156
USGS	15022000	00060	249		1	28	1952	2004	53	150
USGS	15022000	00060	249		1	29	1952	2004	53	150
USGS	15022000	00060	249		1	30	1952	2004	53	160
USGS	15022000	00060	249		1	31	1952	2004	53	152
USGS	15022000	00060	249		2	1	1952	2004	53	149
USGS	15022000	00060	249		2	2	1952	2004	53	138
USGS	15022000	00060	249		2	3	1952	2004	53	140
USGS	15022000	00060	249		2	4	1952	2004	53	140
USGS	15022000	00060	249		2	5	1952	2004	53	140
USGS	15022000	00060	249		2	6	1952	2004	53	140
USGS	15022000	00060	249		2	7	1952	2004	53	142
USGS	15022000	00060	249		2	8	1952	2004	53	140
USGS	15022000	00060	249		2	9	1952	2004	53	140
USGS	15022000	00060	249		2	10	1952	2004	53	140
USGS	15022000	00060	249		2	11	1952	2004	53	137
USGS	15022000	00060	249		2	12	1952	2004	53	140
USGS	15022000	00060	249		2	13	1952	2004	53	140
USGS	15022000	00060	249		2	14	1952	2004	53	156
USGS	15022000	00060	249		2	15	1952	2004	53	159
USGS	15022000	00060	249		2	16	1952	2004	53	148
USGS	15022000	00060	249		2	17	1952	2004	53	141
USGS	15022000	00060	249		2	18	1952	2004	53	140
USGS	15022000	00060	249		2	19	1952	2004	53	150
USGS	15022000	00060	249		2	20	1952	2004	53	175
USGS	15022000	00060	249		2	21	1952	2004	53	150
USGS	15022000	00060	249		2	22	1952	2004	53	165
USGS	15022000	00060	249		2	23	1952	2004	53	158
USGS	15022000	00060	249		2	24	1952	2004	53	152
USGS	15022000	00060	249		2	25	1952	2004	53	160
USGS	15022000	00060	249		2	26	1952	2004	53	157
USGS	15022000	00060	249		2	27	1952	2004	53	150
USGS	15022000	00060	249		2	28	1952	2004	53	140
USGS	15022000	00060	249		2	29	1952	2004	14	159
USGS	15022000	00060	249		3	1	1952	2004	53	139
USGS	15022000	00060	249		3	2	1952	2004	53	131
USGS	15022000	00060	249		3	3	1952	2004	53	135
USGS	15022000	00060	249		3	4	1952	2004	53	138
USGS	15022000	00060	249		3	5	1952	2004	53	130
USGS	15022000	00060	249		3	6	1952	2004	53	128
USGS	15022000	00060	249		3	7	1952	2004	53	139
USGS	15022000	00060	249		3	8	1952	2004	53	136
USGS	15022000	00060	249		3	9	1952	2004	53	138
USGS	15022000	00060	249		3	10	1952	2004	53	130
USGS	15022000	00060	249		3	11	1952	2004	53	130
USGS	15022000	00060	249		3	12	1952	2004	53	137
USGS	15022000	00060	249		3	13	1952	2004	53	140
USGS	15022000	00060	249		3	14	1952	2004	53	140
USGS	15022000	00060	249		3	15	1952	2004	53	140
USGS	15022000	00060	249		3	16	1952	2004	53	143
USGS	15022000	00060	249		3	17	1952	2004	53	149
USGS	15022000	00060	249		3	18	1952	2004	53	155
USGS	15022000	00060	249		3	19	1952	2004	53	150
USGS	15022000	00060	249		3	20	1952	2004	53	158
USGS	15022000	00060	249		3	21	1952	2004	53	159
USGS	15022000	00060	249		3	22	1952	2004	53	147
USGS	15022000	00060	249		3	23	1952	2004	53	135
USGS	15022000	00060	249		3	24	1952	2004	53	155
USGS	15022000	00060	249		3	25	1952	2004	53	158
USGS	15022000	00060	249		3	26	1952	2004	53	166
USGS	15022000	00060	249		3	27	1952	2004	53	173
USGS	15022000	00060	249		3	28	1952	2004	53	180
