#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:44:36 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15040000     00060          DOROTHY C NR JUNEAU AK
# USGS        15052000     00060          LEMON C NR JUNEAU AK
# USGS        15106920     00060          KADASHAN R AB HOOK C NR TENAKEE AK
# USGS        15212000     00060          COPPER R NR CHITINA AK
# USGS        15239050     00060          MF BRADLEY R NR HOMER AK
# USGS        15476000     00060          TANANA R NR TANACROSS AK
# USGS        15744500     00060          KOBUK R NR KIANA AK
# USGS        15747000     00060          WULIK R BL TUTAK C NR KIVALINA AK
# USGS        15798700     00060          NUNAVAK C NR BARROW AK
# USGS        15908000     00060          SAGAVANIRKTOK R NR PUMP STA 3 AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15040000	00060	273		1	1	1930	2003	38	30
USGS	15040000	00060	273		1	2	1930	2003	38	28
USGS	15040000	00060	273		1	3	1930	2003	38	28
USGS	15040000	00060	273		1	4	1930	2003	38	28
USGS	15040000	00060	273		1	5	1930	2003	38	27
USGS	15040000	00060	273		1	6	1930	2003	38	27
USGS	15040000	00060	273		1	7	1930	2003	38	29
USGS	15040000	00060	273		1	8	1930	2003	38	28
USGS	15040000	00060	273		1	9	1930	2003	38	27
USGS	15040000	00060	273		1	10	1930	2003	38	26
USGS	15040000	00060	273		1	11	1930	2003	38	27
USGS	15040000	00060	273		1	12	1930	2003	38	27
USGS	15040000	00060	273		1	13	1930	2003	38	27
USGS	15040000	00060	273		1	14	1930	2003	38	25
USGS	15040000	00060	273		1	15	1930	2003	38	26
USGS	15040000	00060	273		1	16	1930	2003	38	24
USGS	15040000	00060	273		1	17	1930	2003	38	23
USGS	15040000	00060	273		1	18	1930	2003	38	22
USGS	15040000	00060	273		1	19	1930	2003	38	21
USGS	15040000	00060	273		1	20	1930	2003	38	21
USGS	15040000	00060	273		1	21	1930	2003	38	21
USGS	15040000	00060	273		1	22	1930	2003	38	21
USGS	15040000	00060	273		1	23	1930	2003	38	20
USGS	15040000	00060	273		1	24	1930	2003	38	20
USGS	15040000	00060	273		1	25	1930	2003	38	20
USGS	15040000	00060	273		1	26	1930	2003	38	20
USGS	15040000	00060	273		1	27	1930	2003	38	20
USGS	15040000	00060	273		1	28	1930	2003	38	19
USGS	15040000	00060	273		1	29	1930	2003	38	20
USGS	15040000	00060	273		1	30	1930	2003	38	20
USGS	15040000	00060	273		1	31	1930	2003	38	20
USGS	15040000	00060	273		2	1	1930	2003	38	20
USGS	15040000	00060	273		2	2	1930	2003	38	20
USGS	15040000	00060	273		2	3	1930	2003	38	18
USGS	15040000	00060	273		2	4	1930	2003	38	18
USGS	15040000	00060	273		2	5	1930	2003	38	18
