#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:45:16 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15012000     00060          WINSTANLEY C NR KETCHIKAN AK
# USGS        15034000     00060          LONG R NR JUNEAU AK
# USGS        15048000     00060          SHEEP C NR JUNEAU AK
# USGS        15060000     00060          PERSEVERANCE C NR WACKER AK
# USGS        15076000     00060          MANZANITA C NR KETCHIKAN AK
# USGS        15208000     00060          TONSINA R AT TONSINA AK
# USGS        15238600     00060          SPRUCE C NR SEWARD AK
# USGS        15271000     00060          SIXMILE C NR HOPE AK
# USGS        15294005     00060          WILLOW C NR WILLOW AK
# USGS        15514000     00060          CHENA R AT FAIRBANKS AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15012000	00060	235		1	1	1937	1975	30	92
USGS	15012000	00060	235		1	2	1937	1975	30	77
USGS	15012000	00060	235		1	3	1937	1975	30	81
USGS	15012000	00060	235		1	4	1937	1975	30	88
USGS	15012000	00060	235		1	5	1937	1975	30	82
USGS	15012000	00060	235		1	6	1937	1975	30	82
USGS	15012000	00060	235		1	7	1937	1975	30	83
USGS	15012000	00060	235		1	8	1937	1975	30	75
USGS	15012000	00060	235		1	9	1937	1975	30	62
USGS	15012000	00060	235		1	10	1937	1975	30	54
USGS	15012000	00060	235		1	11	1937	1975	30	47
USGS	15012000	00060	235		1	12	1937	1975	30	44
USGS	15012000	00060	235		1	13	1937	1975	30	55
USGS	15012000	00060	235		1	14	1937	1975	30	64
USGS	15012000	00060	235		1	15	1937	1975	30	68
USGS	15012000	00060	235		1	16	1937	1975	30	65
USGS	15012000	00060	235		1	17	1937	1975	30	57
USGS	15012000	00060	235		1	18	1937	1975	30	55
USGS	15012000	00060	235		1	19	1937	1975	30	72
USGS	15012000	00060	235		1	20	1937	1975	30	62
USGS	15012000	00060	235		1	21	1937	1975	30	53
USGS	15012000	00060	235		1	22	1937	1975	30	54
USGS	15012000	00060	235		1	23	1937	1975	30	51
USGS	15012000	00060	235		1	24	1937	1975	30	58
USGS	15012000	00060	235		1	25	1937	1975	30	56
USGS	15012000	00060	235		1	26	1937	1975	30	53
USGS	15012000	00060	235		1	27	1937	1975	30	52
USGS	15012000	00060	235		1	28	1937	1975	30	53
USGS	15012000	00060	235		1	29	1937	1975	30	56
USGS	15012000	00060	235		1	30	1937	1975	30	54
USGS	15012000	00060	235		1	31	1937	1975	30	55
USGS	15012000	00060	235		2	1	1937	1975	30	54
USGS	15012000	00060	235		2	2	1937	1975	30	56
USGS	15012000	00060	235		2	3	1937	1975	30	55
USGS	15012000	00060	235		2	4	1937	1975	30	51
USGS	15012000	00060	235		2	5	1937	1975	30	50
USGS	15012000	00060	235		2	6	1937	1975	30	49
USGS	15012000	00060	235		2	7	1937	1975	30	57
USGS	15012000	00060	235		2	8	1937	1975	30	62
USGS	15012000	00060	235		2	9	1937	1975	30	61
USGS	15012000	00060	235		2	10	1937	1975	30	57
USGS	15012000	00060	235		2	11	1937	1975	30	58
USGS	15012000	00060	235		2	12	1937	1975	30	60
USGS	15012000	00060	235		2	13	1937	1975	30	66
USGS	15012000	00060	235		2	14	1937	1975	30	63
USGS	15012000	00060	235		2	15	1937	1975	30	60
USGS	15012000	00060	235		2	16	1937	1975	30	55
USGS	15012000	00060	235		2	17	1937	1975	30	49
USGS	15012000	00060	235		2	18	1937	1975	30	45
USGS	15012000	00060	235		2	19	1937	1975	30	43
USGS	15012000	00060	235		2	20	1937	1975	30	53
USGS	15012000	00060	235		2	21	1937	1975	30	65
USGS	15012000	00060	235		2	22	1937	1975	30	70
USGS	15012000	00060	235		2	23	1937	1975	30	70
USGS	15012000	00060	235		2	24	1937	1975	30	75
USGS	15012000	00060	235		2	25	1937	1975	30	70
USGS	15012000	00060	235		2	26	1937	1975	30	65
USGS	15012000	00060	235		2	27	1937	1975	30	77
USGS	15012000	00060	235		2	28	1937	1975	30	70
USGS	15012000	00060	235		2	29	1948	1972	7	33
USGS	15012000	00060	235		3	1	1937	1975	30	55
USGS	15012000	00060	235		3	2	1937	1975	30	53
USGS	15012000	00060	235		3	3	1937	1975	30	60
USGS	15012000	00060	235		3	4	1937	1975	30	55
USGS	15012000	00060	235		3	5	1937	1975	30	58
USGS	15012000	00060	235		3	6	1937	1975	30	56
USGS	15012000	00060	235		3	7	1937	1975	30	53
USGS	15012000	00060	235		3	8	1937	1975	30	51
USGS	15012000	00060	235		3	9	1937	1975	30	51
USGS	15012000	00060	235		3	10	1937	1975	30	49
USGS	15012000	00060	235		3	11	1937	1975	30	56
USGS	15012000	00060	235		3	12	1937	1975	30	56
USGS	15012000	00060	235		3	13	1937	1975	30	54
USGS	15012000	00060	235		3	14	1937	1975	30	56
USGS	15012000	00060	235		3	15	1937	1975	30	52
USGS	15012000	00060	235		3	16	1937	1975	30	49
USGS	15012000	00060	235		3	17	1937	1975	30	46
USGS	15012000	00060	235		3	18	1937	1975	30	47
USGS	15012000	00060	235		3	19	1937	1975	30	47
USGS	15012000	00060	235		3	20	1937	1975	30	47
USGS	15012000	00060	235		3	21	1937	1975	30	47
USGS	15012000	00060	235		3	22	1937	1975	30	46
USGS	15012000	00060	235		3	23	1937	1975	30	49
USGS	15012000	00060	235		3	24	1937	1975	30	53
USGS	15012000	00060	235		3	25	1937	1975	30	56
USGS	15012000	00060	235		3	26	1937	1975	30	54
USGS	15012000	00060	235		3	27	1937	1975	30	54
USGS	15012000	00060	235		3	28	1937	1975	30	58
USGS	15012000	00060	235		3	29	1937	1975	30	59
USGS	15012000	00060	235		3	30	1937	1975	30	60
USGS	15012000	00060	235		3	31	1937	1975	30	60
USGS	15012000	00060	235		4	1	1937	1975	30	59
USGS	15012000	00060	235		4	2	1937	1975	30	71
USGS	15012000	00060	235		4	3	1937	1975	30	69
USGS	15012000	00060	235		4	4	1937	1975	30	99
USGS	15012000	00060	235		4	5	1937	1975	30	102
USGS	15012000	00060	235		4	6	1937	1975	30	101
USGS	15012000	00060	235		4	7	1937	1975	30	95
USGS	15012000	00060	235		4	8	1937	1975	30	87
USGS	15012000	00060	235		4	9	1937	1975	30	81
USGS	15012000	00060	235		4	10	1937	1975	30	98
USGS	15012000	00060	235		4	11	1937	1975	30	102
USGS	15012000	00060	235		4	12	1937	1975	30	103
USGS	15012000	00060	235		4	13	1937	1975	30	102
USGS	15012000	00060	235		4	14	1937	1975	30	96
USGS	15012000	00060	235		4	15	1937	1975	30	95
USGS	15012000	00060	235		4	16	1937	1975	30	91
USGS	15012000	00060	235		4	17	1937	1975	30	85
USGS	15012000	00060	235		4	18	1937	1975	30	91
USGS	15012000	00060	235		4	19	1937	1975	30	100
USGS	15012000	00060	235		4	20	1937	1975	30	107
USGS	15012000	00060	235		4	21	1937	1975	30	105
USGS	15012000	00060	235		4	22	1937	1975	30	101
USGS	15012000	00060	235		4	23	1937	1975	30	99
USGS	15012000	00060	235		4	24	1937	1975	30	101
USGS	15012000	00060	235		4	25	1937	1975	30	98
USGS	15012000	00060	235		4	26	1937	1975	30	110
USGS	15012000	00060	235		4	27	1937	1975	30	113
USGS	15012000	00060	235		4	28	1937	1975	30	112
USGS	15012000	00060	235		4	29	1937	1975	30	120
USGS	15012000	00060	235		4	30	1937	1975	30	118
USGS	15012000	00060	235		5	1	1937	1975	30	126
USGS	15012000	00060	235		5	2	1937	1975	30	128
USGS	15012000	00060	235		5	3	1937	1975	30	121
USGS	15012000	00060	235		5	4	1937	1975	30	128
USGS	15012000	00060	235		5	5	1937	1975	30	136
USGS	15012000	00060	235		5	6	1937	1975	30	141
USGS	15012000	00060	235		5	7	1937	1975	30	152
USGS	15012000	00060	235		5	8	1937	1975	30	166
USGS	15012000	00060	235		5	9	1937	1975	30	201
USGS	15012000	00060	235		5	10	1937	1975	30	218
USGS	15012000	00060	235		5	11	1937	1975	30	210
USGS	15012000	00060	235		5	12	1937	1975	30	188
USGS	15012000	00060	235		5	13	1937	1975	30	179
USGS	15012000	00060	235		5	14	1937	1975	30	219
USGS	15012000	00060	235		5	15	1937	1975	30	205
USGS	15012000	00060	235		5	16	1937	1975	30	208
USGS	15012000	00060	235		5	17	1937	1975	30	206
USGS	15012000	00060	235		5	18	1937	1975	30	219
USGS	15012000	00060	235		5	19	1937	1975	30	211
USGS	15012000	00060	235		5	20	1937	1975	30	231
USGS	15012000	00060	235		5	21	1937	1975	30	237
USGS	15012000	00060	235		5	22	1937	1975	30	220
USGS	15012000	00060	235		5	23	1937	1975	30	223
USGS	15012000	00060	235		5	24	1937	1975	30	220
USGS	15012000	00060	235		5	25	1937	1975	30	214
USGS	15012000	00060	235		5	26	1937	1975	30	227
USGS	15012000	00060	235		5	27	1937	1975	30	217
USGS	15012000	00060	235		5	28	1937	1975	30	210
USGS	15012000	00060	235		5	29	1937	1975	30	201
USGS	15012000	00060	235		5	30	1937	1975	30	195
USGS	15012000	00060	235		5	31	1937	1975	30	194
USGS	15012000	00060	235		6	1	1937	1975	30	196
USGS	15012000	00060	235		6	2	1937	1975	30	221
USGS	15012000	00060	235		6	3	1937	1975	30	229
USGS	15012000	00060	235		6	4	1937	1975	30	249
USGS	15012000	00060	235		6	5	1937	1975	30	257
USGS	15012000	00060	235		6	6	1937	1975	30	248
USGS	15012000	00060	235		6	7	1937	1975	30	243
USGS	15012000	00060	235		6	8	1937	1975	30	241
USGS	15012000	00060	235		6	9	1937	1975	30	224
USGS	15012000	00060	235		6	10	1937	1975	30	232
USGS	15012000	00060	235		6	11	1937	1975	30	226
USGS	15012000	00060	235		6	12	1937	1975	30	219
USGS	15012000	00060	235		6	13	1937	1975	30	218
USGS	15012000	00060	235		6	14	1937	1975	30	207
USGS	15012000	00060	235		6	15	1937	1975	30	218
USGS	15012000	00060	235		6	16	1937	1975	30	217
USGS	15012000	00060	235		6	17	1937	1975	30	203
USGS	15012000	00060	235		6	18	1937	1975	30	207
USGS	15012000	00060	235		6	19	1937	1975	30	208
USGS	15012000	00060	235		6	20	1937	1975	30	214
USGS	15012000	00060	235		6	21	1937	1975	30	221
USGS	15012000	00060	235		6	22	1937	1975	30	205
USGS	15012000	00060	235		6	23	1937	1975	30	201
