#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:46:53 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15052800     00060          MONTANA C NR AUKE BAY AK
# USGS        15056100     00060          SKAGWAY R AT SKAGWAY AK
# USGS        15100000     00060          TAKATZ C NR BARANOF AK
# USGS        15108000     00060          PAVLOF R NR TENAKEE AK
# USGS        15248000     00060          TRAIL R NR LAWING AK
# USGS        15274000     00060          SF CAMPBELL C NR ANCHORAGE AK
# USGS        15281000     00060          KNIK R NR PALMER AK
# USGS        15296000     00060          UGANIK R NR KODIAK AK
# USGS        15297610     00060          RUSSELL C NR COLD BAY AK
# USGS        15621000     00060          SNAKE R NR NOME AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15052800	00060	298		1	1	1966	2012	26	29
USGS	15052800	00060	298		1	2	1966	2012	26	28
USGS	15052800	00060	298		1	3	1966	2012	26	27
USGS	15052800	00060	298		1	4	1966	2012	26	26
USGS	15052800	00060	298		1	5	1966	2012	26	32
USGS	15052800	00060	298		1	6	1966	2012	26	30
USGS	15052800	00060	298		1	7	1966	2012	26	36
USGS	15052800	00060	298		1	8	1966	2012	26	32
USGS	15052800	00060	298		1	9	1966	2012	26	26
USGS	15052800	00060	298		1	10	1966	2012	26	25
USGS	15052800	00060	298		1	11	1966	2012	26	24
USGS	15052800	00060	298		1	12	1966	2012	26	29
USGS	15052800	00060	298		1	13	1966	2012	26	29
USGS	15052800	00060	298		1	14	1966	2012	26	28
USGS	15052800	00060	298		1	15	1966	2012	26	27
USGS	15052800	00060	298		1	16	1966	2012	26	24
USGS	15052800	00060	298		1	17	1966	2012	26	26
USGS	15052800	00060	298		1	18	1966	2012	26	28
USGS	15052800	00060	298		1	19	1966	2012	26	27
USGS	15052800	00060	298		1	20	1966	2012	26	28
USGS	15052800	00060	298		1	21	1966	2012	26	28
USGS	15052800	00060	298		1	22	1966	2012	26	28
USGS	15052800	00060	298		1	23	1966	2012	26	30
USGS	15052800	00060	298		1	24	1966	2012	26	28
USGS	15052800	00060	298		1	25	1966	2012	26	25
USGS	15052800	00060	298		1	26	1966	2012	26	27
USGS	15052800	00060	298		1	27	1966	2012	26	31
USGS	15052800	00060	298		1	28	1966	2012	26	28
USGS	15052800	00060	298		1	29	1966	2012	26	24
USGS	15052800	00060	298		1	30	1966	2012	26	21
USGS	15052800	00060	298		1	31	1966	2012	26	19
USGS	15052800	00060	298		2	1	1966	2012	26	19
USGS	15052800	00060	298		2	2	1966	2012	26	21
USGS	15052800	00060	298		2	3	1966	2012	26	23
USGS	15052800	00060	298		2	4	1966	2012	26	23
USGS	15052800	00060	298		2	5	1966	2012	26	26
USGS	15052800	00060	298		2	6	1966	2012	26	31
USGS	15052800	00060	298		2	7	1966	2012	26	30
USGS	15052800	00060	298		2	8	1966	2012	26	28
USGS	15052800	00060	298		2	9	1966	2012	26	28
USGS	15052800	00060	298		2	10	1966	2012	26	28
USGS	15052800	00060	298		2	11	1966	2012	26	23
USGS	15052800	00060	298		2	12	1966	2012	26	28
USGS	15052800	00060	298		2	13	1966	2012	26	27
USGS	15052800	00060	298		2	14	1966	2012	26	26
USGS	15052800	00060	298		2	15	1966	2012	26	24
USGS	15052800	00060	298		2	16	1966	2012	26	21
USGS	15052800	00060	298		2	17	1966	2012	26	21
USGS	15052800	00060	298		2	18	1966	2012	26	22
USGS	15052800	00060	298		2	19	1966	2012	26	25
USGS	15052800	00060	298		2	20	1966	2012	26	23
USGS	15052800	00060	298		2	21	1966	2012	26	24
USGS	15052800	00060	298		2	22	1966	2012	26	24
USGS	15052800	00060	298		2	23	1966	2012	26	28
USGS	15052800	00060	298		2	24	1966	2012	26	26
USGS	15052800	00060	298		2	25	1966	2012	26	33
USGS	15052800	00060	298		2	26	1966	2012	26	30
USGS	15052800	00060	298		2	27	1966	2012	26	28
USGS	15052800	00060	298		2	28	1966	2012	26	27
USGS	15052800	00060	298		2	29	1968	2012	6	26
USGS	15052800	00060	298		3	1	1966	2012	26	23
USGS	15052800	00060	298		3	2	1966	2012	26	22
USGS	15052800	00060	298		3	3	1966	2012	26	20
USGS	15052800	00060	298		3	4	1966	2012	26	19
USGS	15052800	00060	298		3	5	1966	2012	26	19
USGS	15052800	00060	298		3	6	1966	2012	26	19
USGS	15052800	00060	298		3	7	1966	2012	26	19
USGS	15052800	00060	298		3	8	1966	2012	26	20
USGS	15052800	00060	298		3	9	1966	2012	26	19
USGS	15052800	00060	298		3	10	1966	2012	26	20
USGS	15052800	00060	298		3	11	1966	2012	26	20
USGS	15052800	00060	298		3	12	1966	2012	26	20
USGS	15052800	00060	298		3	13	1966	2012	26	20
USGS	15052800	00060	298		3	14	1966	2012	26	20
USGS	15052800	00060	298		3	15	1966	2012	26	20
USGS	15052800	00060	298		3	16	1966	2012	26	20
USGS	15052800	00060	298		3	17	1966	2012	26	21
USGS	15052800	00060	298		3	18	1966	2012	26	20
USGS	15052800	00060	298		3	19	1966	2012	26	21
USGS	15052800	00060	298		3	20	1966	2012	26	20
USGS	15052800	00060	298		3	21	1966	2012	26	20
USGS	15052800	00060	298		3	22	1966	2012	26	21
USGS	15052800	00060	298		3	23	1966	2012	26	22
USGS	15052800	00060	298		3	24	1966	2012	26	21
USGS	15052800	00060	298		3	25	1966	2012	26	21
USGS	15052800	00060	298		3	26	1966	2012	26	21
USGS	15052800	00060	298		3	27	1966	2012	26	20
USGS	15052800	00060	298		3	28	1966	2012	26	22
USGS	15052800	00060	298		3	29	1966	2012	26	36
USGS	15052800	00060	298		3	30	1966	2012	26	38
USGS	15052800	00060	298		3	31	1966	2012	26	41
USGS	15052800	00060	298		4	1	1966	2012	26	33
USGS	15052800	00060	298		4	2	1966	2012	26	33
USGS	15052800	00060	298		4	3	1966	2012	26	32
USGS	15052800	00060	298		4	4	1966	2012	26	33
USGS	15052800	00060	298		4	5	1966	2012	26	31
USGS	15052800	00060	298		4	6	1966	2012	26	40
USGS	15052800	00060	298		4	7	1966	2012	26	43
USGS	15052800	00060	298		4	8	1966	2012	26	42
USGS	15052800	00060	298		4	9	1966	2012	26	44
USGS	15052800	00060	298		4	10	1966	2012	26	40
USGS	15052800	00060	298		4	11	1966	2012	26	39
USGS	15052800	00060	298		4	12	1966	2012	26	39
USGS	15052800	00060	298		4	13	1966	2012	26	44
USGS	15052800	00060	298		4	14	1966	2012	26	46
USGS	15052800	00060	298		4	15	1966	2012	26	41
USGS	15052800	00060	298		4	16	1966	2012	26	41
USGS	15052800	00060	298		4	17	1966	2012	26	45
USGS	15052800	00060	298		4	18	1966	2012	26	49
USGS	15052800	00060	298		4	19	1966	2012	26	48
USGS	15052800	00060	298		4	20	1966	2012	26	55
USGS	15052800	00060	298		4	21	1966	2012	26	57
USGS	15052800	00060	298		4	22	1966	2012	26	58
USGS	15052800	00060	298		4	23	1966	2012	26	62
USGS	15052800	00060	298		4	24	1966	2012	26	60
USGS	15052800	00060	298		4	25	1966	2012	26	62
USGS	15052800	00060	298		4	26	1966	2012	26	59
USGS	15052800	00060	298		4	27	1966	2012	26	78
USGS	15052800	00060	298		4	28	1966	2012	26	68
USGS	15052800	00060	298		4	29	1966	2012	26	69
USGS	15052800	00060	298		4	30	1966	2012	26	78
USGS	15052800	00060	298		5	1	1966	2012	26	72
USGS	15052800	00060	298		5	2	1966	2012	26	84
