#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:52:11 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15056210     00060          TAIYA R NR SKAGWAY AK
# USGS        15074000     00060          ELLA C NR KETCHIKAN AK
# USGS        15129000     00060          ALSEK R NR YAKUTAT AK
# USGS        15238978     00060          BATTLE C DIV AB BRADLEY LK NR HOMER AK
# USGS        15261000     00060          COOPER C AT MOUTH NR COOPER LANDING AK
# USGS        15282000     00060          CARIBOU C NR SUTTON AK
# USGS        15292400     00060          CHULITNA R NR TALKEETNA AK
# USGS        15294300     00060          SKWENTNA R NR SKWENTNA AK
# USGS        15297200     00060          MYRTLE C NR KODIAK AK
# USGS        15564900     00060          KOYUKUK R AT HUGHES AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15056210	00060	331		1	1	1970	2022	27	105
USGS	15056210	00060	331		1	2	1970	2022	27	100
USGS	15056210	00060	331		1	3	1970	2022	27	100
USGS	15056210	00060	331		1	4	1970	2022	27	99
USGS	15056210	00060	331		1	5	1970	2022	27	96
USGS	15056210	00060	331		1	6	1970	2022	27	98
USGS	15056210	00060	331		1	7	1970	2022	27	100
USGS	15056210	00060	331		1	8	1970	2022	27	98
USGS	15056210	00060	331		1	9	1970	2022	27	93
USGS	15056210	00060	331		1	10	1970	2022	27	90
USGS	15056210	00060	331		1	11	1970	2022	27	90
USGS	15056210	00060	331		1	12	1970	2022	27	90
USGS	15056210	00060	331		1	13	1970	2022	27	90
USGS	15056210	00060	331		1	14	1970	2022	27	83
USGS	15056210	00060	331		1	15	1970	2022	27	90
USGS	15056210	00060	331		1	16	1970	2022	27	90
USGS	15056210	00060	331		1	17	1970	2022	27	95
USGS	15056210	00060	331		1	18	1970	2022	27	95
USGS	15056210	00060	331		1	19	1970	2022	27	100
USGS	15056210	00060	331		1	20	1970	2022	27	95
USGS	15056210	00060	331		1	21	1970	2022	27	95
USGS	15056210	00060	331		1	22	1970	2022	27	90
USGS	15056210	00060	331		1	23	1970	2022	27	94
USGS	15056210	00060	331		1	24	1970	2022	27	95
USGS	15056210	00060	331		1	25	1970	2022	27	95
USGS	15056210	00060	331		1	26	1970	2022	27	95
USGS	15056210	00060	331		1	27	1970	2022	27	92
USGS	15056210	00060	331		1	28	1970	2022	27	87
USGS	15056210	00060	331		1	29	1970	2022	27	86
USGS	15056210	00060	331		1	30	1970	2022	27	89
USGS	15056210	00060	331		1	31	1970	2022	27	86
USGS	15056210	00060	331		2	1	1970	2022	27	85
USGS	15056210	00060	331		2	2	1970	2022	27	84
USGS	15056210	00060	331		2	3	1970	2022	27	83
USGS	15056210	00060	331		2	4	1970	2022	27	82
USGS	15056210	00060	331		2	5	1970	2022	27	90
USGS	15056210	00060	331		2	6	1970	2022	27	80
USGS	15056210	00060	331		2	7	1970	2022	27	80
USGS	15056210	00060	331		2	8	1970	2022	27	85
USGS	15056210	00060	331		2	9	1970	2022	27	86
USGS	15056210	00060	331		2	10	1970	2022	27	88
USGS	15056210	00060	331		2	11	1970	2022	27	88
USGS	15056210	00060	331		2	12	1970	2022	27	93
USGS	15056210	00060	331		2	13	1970	2022	27	86
USGS	15056210	00060	331		2	14	1970	2022	27	84
USGS	15056210	00060	331		2	15	1970	2022	27	82
USGS	15056210	00060	331		2	16	1970	2022	27	89
USGS	15056210	00060	331		2	17	1970	2022	27	83
USGS	15056210	00060	331		2	18	1970	2022	27	80
USGS	15056210	00060	331		2	19	1970	2022	27	80
USGS	15056210	00060	331		2	20	1970	2022	27	80
USGS	15056210	00060	331		2	21	1970	2022	27	81
USGS	15056210	00060	331		2	22	1970	2022	27	81
USGS	15056210	00060	331		2	23	1970	2022	27	80
USGS	15056210	00060	331		2	24	1970	2022	27	80
USGS	15056210	00060	331		2	25	1970	2022	27	82
USGS	15056210	00060	331		2	26	1970	2022	27	80
USGS	15056210	00060	331		2	27	1970	2022	27	80
USGS	15056210	00060	331		2	28	1970	2022	27	80
USGS	15056210	00060	331		2	29	1972	2020	7	72
USGS	15056210	00060	331		3	1	1970	2022	27	80
USGS	15056210	00060	331		3	2	1970	2022	27	83
USGS	15056210	00060	331		3	3	1970	2022	27	80
USGS	15056210	00060	331		3	4	1970	2022	27	74
USGS	15056210	00060	331		3	5	1970	2022	27	75
USGS	15056210	00060	331		3	6	1970	2022	27	78
USGS	15056210	00060	331		3	7	1970	2022	27	80
USGS	15056210	00060	331		3	8	1970	2022	27	80
USGS	15056210	00060	331		3	9	1970	2022	27	73
USGS	15056210	00060	331		3	10	1970	2022	27	78
USGS	15056210	00060	331		3	11	1970	2022	27	77
USGS	15056210	00060	331		3	12	1970	2022	27	74
USGS	15056210	00060	331		3	13	1970	2022	27	70
USGS	15056210	00060	331		3	14	1970	2022	27	72
USGS	15056210	00060	331		3	15	1970	2022	27	71
USGS	15056210	00060	331		3	16	1970	2022	27	78
USGS	15056210	00060	331		3	17	1970	2022	27	76
USGS	15056210	00060	331		3	18	1970	2022	27	73
USGS	15056210	00060	331		3	19	1970	2022	27	70
USGS	15056210	00060	331		3	20	1970	2022	27	68
USGS	15056210	00060	331		3	21	1970	2022	27	64
USGS	15056210	00060	331		3	22	1970	2022	27	67
USGS	15056210	00060	331		3	23	1970	2022	27	73
USGS	15056210	00060	331		3	24	1970	2022	27	70
USGS	15056210	00060	331		3	25	1970	2022	27	64
USGS	15056210	00060	331		3	26	1970	2022	27	63
USGS	15056210	00060	331		3	27	1970	2022	27	64
USGS	15056210	00060	331		3	28	1970	2022	27	64
USGS	15056210	00060	331		3	29	1970	2022	27	64
