#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:53:09 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15055500     00060          ANTLER R BL ANTLER LK NR AUKE BAY AK
# USGS        15087690     00060          INDIAN R NR SITKA AK
# USGS        15106980     00060          TONALITE C NR TENAKEE AK
# USGS        15129600     00060          OPHIR C NR YAKUTAT AK
# USGS        15200000     00060          GAKONA R AT GAKONA AK
# USGS        15239060     00060          MF BRADLEY R BL NF BRADLEY R NR HOMER AK
# USGS        15242000     00060          KASILOF R NR KASILOF AK
# USGS        15300300     00060          ILIAMNA R NR PEDRO BAY AK
# USGS        15516000     00060          NENANA R NR WINDY AK
# USGS        15743850     00060          DAHL C NR KOBUK AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15055500	00060	315		1	1	1998	2022	25	34
USGS	15055500	00060	315		1	2	1998	2022	25	32
USGS	15055500	00060	315		1	3	1998	2022	25	37
USGS	15055500	00060	315		1	4	1998	2022	25	35
USGS	15055500	00060	315		1	5	1998	2022	25	33
USGS	15055500	00060	315		1	6	1998	2022	25	33
USGS	15055500	00060	315		1	7	1998	2022	25	31
USGS	15055500	00060	315		1	8	1998	2022	25	29
USGS	15055500	00060	315		1	9	1998	2022	25	30
USGS	15055500	00060	315		1	10	1998	2022	25	31
USGS	15055500	00060	315		1	11	1998	2022	25	30
USGS	15055500	00060	315		1	12	1998	2022	25	29
USGS	15055500	00060	315		1	13	1998	2022	25	27
USGS	15055500	00060	315		1	14	1998	2022	25	28
USGS	15055500	00060	315		1	15	1998	2022	25	33
USGS	15055500	00060	315		1	16	1998	2022	25	33
USGS	15055500	00060	315		1	17	1998	2022	25	35
USGS	15055500	00060	315		1	18	1998	2022	25	33
USGS	15055500	00060	315		1	19	1998	2022	25	31
USGS	15055500	00060	315		1	20	1998	2022	25	31
USGS	15055500	00060	315		1	21	1998	2022	25	30
USGS	15055500	00060	315		1	22	1998	2022	25	30
USGS	15055500	00060	315		1	23	1998	2022	25	31
USGS	15055500	00060	315		1	24	1998	2022	25	30
USGS	15055500	00060	315		1	25	1998	2022	25	30
USGS	15055500	00060	315		1	26	1998	2022	25	35
USGS	15055500	00060	315		1	27	1998	2022	25	35
USGS	15055500	00060	315		1	28	1998	2022	25	35
USGS	15055500	00060	315		1	29	1998	2022	25	32
USGS	15055500	00060	315		1	30	1998	2022	25	34
USGS	15055500	00060	315		1	31	1998	2022	25	32
USGS	15055500	00060	315		2	1	1998	2022	25	30
USGS	15055500	00060	315		2	2	1998	2022	25	32
USGS	15055500	00060	315		2	3	1998	2022	25	31
USGS	15055500	00060	315		2	4	1998	2022	25	30
USGS	15055500	00060	315		2	5	1998	2022	25	29
USGS	15055500	00060	315		2	6	1998	2022	25	27
USGS	15055500	00060	315		2	7	1998	2022	25	27
USGS	15055500	00060	315		2	8	1998	2022	25	26
USGS	15055500	00060	315		2	9	1998	2022	25	27
USGS	15055500	00060	315		2	10	1998	2022	25	27
USGS	15055500	00060	315		2	11	1998	2022	25	26
USGS	15055500	00060	315		2	12	1998	2022	25	28
USGS	15055500	00060	315		2	13	1998	2022	25	28
USGS	15055500	00060	315		2	14	1998	2022	25	28
USGS	15055500	00060	315		2	15	1998	2022	25	27
USGS	15055500	00060	315		2	16	1998	2022	25	26
USGS	15055500	00060	315		2	17	1998	2022	25	24
USGS	15055500	00060	315		2	18	1998	2022	25	24
USGS	15055500	00060	315		2	19	1998	2022	25	23
USGS	15055500	00060	315		2	20	1998	2022	25	22
USGS	15055500	00060	315		2	21	1998	2022	25	22
USGS	15055500	00060	315		2	22	1998	2022	25	24
USGS	15055500	00060	315		2	23	1998	2022	25	23
USGS	15055500	00060	315		2	24	1998	2022	25	22
USGS	15055500	00060	315		2	25	1998	2022	25	21
USGS	15055500	00060	315		2	26	1998	2022	25	21
USGS	15055500	00060	315		2	27	1998	2022	25	20
USGS	15055500	00060	315		2	28	1998	2022	25	20
USGS	15055500	00060	315		2	29	2000	2020	6	23
USGS	15055500	00060	315		3	1	1998	2022	25	20
USGS	15055500	00060	315		3	2	1998	2022	25	20
USGS	15055500	00060	315		3	3	1998	2022	25	21
USGS	15055500	00060	315		3	4	1998	2022	25	21
USGS	15055500	00060	315		3	5	1998	2022	25	21
USGS	15055500	00060	315		3	6	1998	2022	25	19
