#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:53:45 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15109000     00060          FISH C NR AUKE BAY AK
# USGS        15237730     00060          GROUSE C AT GROUSE LK OUTLET NR SEWARD AK
# USGS        15238820     00060          BARABARA C NR SELDOVIA AK
# USGS        15294350     00060          SUSITNA R AT SUSITNA STATION AK
# USGS        15300000     00060          NEWHALEN R NR ILIAMNA AK
# USGS        15348000     00060          FORTYMILE R NR STEELE CREEK AK
# USGS        15457800     00060          HESS C NR LIVENGOOD AK
# USGS        15477740     00060          GOODPASTER R NR BIG DELTA AK
# USGS        15518080     00060          LIGNITE C AB MOUTH NR HEALY AK
# USGS        15564879     00060          SLATE C AT COLDFOOT AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15109000	00060	531		1	1	1959	1978	20	19
USGS	15109000	00060	531		1	2	1959	1978	20	18
USGS	15109000	00060	531		1	3	1959	1978	20	17
USGS	15109000	00060	531		1	4	1959	1978	20	20
USGS	15109000	00060	531		1	5	1959	1978	20	18
USGS	15109000	00060	531		1	6	1959	1978	20	17
USGS	15109000	00060	531		1	7	1959	1978	20	17
USGS	15109000	00060	531		1	8	1959	1978	20	16
USGS	15109000	00060	531		1	9	1959	1978	20	14
USGS	15109000	00060	531		1	10	1959	1978	20	15
USGS	15109000	00060	531		1	11	1959	1978	20	15
USGS	15109000	00060	531		1	12	1959	1978	20	15
USGS	15109000	00060	531		1	13	1959	1978	20	15
USGS	15109000	00060	531		1	14	1959	1978	20	14
USGS	15109000	00060	531		1	15	1959	1978	20	14
USGS	15109000	00060	531		1	16	1959	1978	20	15
USGS	15109000	00060	531		1	17	1959	1978	20	14
USGS	15109000	00060	531		1	18	1959	1978	20	15
USGS	15109000	00060	531		1	19	1959	1978	20	14
USGS	15109000	00060	531		1	20	1959	1978	20	13
USGS	15109000	00060	531		1	21	1959	1978	20	12
USGS	15109000	00060	531		1	22	1959	1978	20	12
USGS	15109000	00060	531		1	23	1959	1978	20	14
USGS	15109000	00060	531		1	24	1959	1978	20	15
USGS	15109000	00060	531		1	25	1959	1978	20	14
USGS	15109000	00060	531		1	26	1959	1978	20	12
USGS	15109000	00060	531		1	27	1959	1978	20	11
USGS	15109000	00060	531		1	28	1959	1978	20	9.7
USGS	15109000	00060	531		1	29	1959	1978	20	9.7
USGS	15109000	00060	531		1	30	1959	1978	20	11
USGS	15109000	00060	531		1	31	1959	1978	20	10
USGS	15109000	00060	531		2	1	1959	1978	20	8.8
USGS	15109000	00060	531		2	2	1959	1978	20	8.5
USGS	15109000	00060	531		2	3	1959	1978	20	8.5
USGS	15109000	00060	531		2	4	1959	1978	20	9
USGS	15109000	00060	531		2	5	1959	1978	20	12
USGS	15109000	00060	531		2	6	1959	1978	20	14
USGS	15109000	00060	531		2	7	1959	1978	20	19
USGS	15109000	00060	531		2	8	1959	1978	20	27
USGS	15109000	00060	531		2	9	1959	1978	20	22
USGS	15109000	00060	531		2	10	1959	1978	20	25
USGS	15109000	00060	531		2	11	1959	1978	20	23
USGS	15109000	00060	531		2	12	1959	1978	20	17
USGS	15109000	00060	531		2	13	1959	1978	20	17
USGS	15109000	00060	531		2	14	1959	1978	20	17
USGS	15109000	00060	531		2	15	1959	1978	20	16
USGS	15109000	00060	531		2	16	1959	1978	20	15
USGS	15109000	00060	531		2	17	1959	1978	20	14
USGS	15109000	00060	531		2	18	1959	1978	20	14
USGS	15109000	00060	531		2	19	1959	1978	20	14
USGS	15109000	00060	531		2	20	1959	1978	20	15
USGS	15109000	00060	531		2	21	1959	1978	20	15
USGS	15109000	00060	531		2	22	1959	1978	20	17
USGS	15109000	00060	531		2	23	1959	1978	20	18
USGS	15109000	00060	531		2	24	1959	1978	20	17
USGS	15109000	00060	531		2	25	1959	1978	20	17
USGS	15109000	00060	531		2	26	1959	1978	20	18
USGS	15109000	00060	531		2	27	1959	1978	20	17
USGS	15109000	00060	531		2	28	1959	1978	20	15
USGS	15109000	00060	531		2	29	1960	1976	5	10
USGS	15109000	00060	531		3	1	1959	1978	20	15
USGS	15109000	00060	531		3	2	1959	1978	20	15
USGS	15109000	00060	531		3	3	1959	1978	20	14
USGS	15109000	00060	531		3	4	1959	1978	20	14
USGS	15109000	00060	531		3	5	1959	1978	20	14
USGS	15109000	00060	531		3	6	1959	1978	20	14
USGS	15109000	00060	531		3	7	1959	1978	20	12
USGS	15109000	00060	531		3	8	1959	1978	20	12
USGS	15109000	00060	531		3	9	1959	1978	20	12
USGS	15109000	00060	531		3	10	1959	1978	20	10
USGS	15109000	00060	531		3	11	1959	1978	20	10
USGS	15109000	00060	531		3	12	1959	1978	20	10
USGS	15109000	00060	531		3	13	1959	1978	20	10
USGS	15109000	00060	531		3	14	1959	1978	20	12
USGS	15109000	00060	531		3	15	1959	1978	20	13
USGS	15109000	00060	531		3	16	1959	1978	20	15
USGS	15109000	00060	531		3	17	1959	1978	20	15
USGS	15109000	00060	531		3	18	1959	1978	20	13
USGS	15109000	00060	531		3	19	1959	1978	20	13
USGS	15109000	00060	531		3	20	1959	1978	20	17
USGS	15109000	00060	531		3	21	1959	1978	20	16
USGS	15109000	00060	531		3	22	1959	1978	20	15
USGS	15109000	00060	531		3	23	1959	1978	20	15
USGS	15109000	00060	531		3	24	1959	1978	20	14
USGS	15109000	00060	531		3	25	1959	1978	20	15
USGS	15109000	00060	531		3	26	1959	1978	20	17
USGS	15109000	00060	531		3	27	1959	1978	20	17
USGS	15109000	00060	531		3	28	1959	1978	20	16
USGS	15109000	00060	531		3	29	1959	1978	20	16
USGS	15109000	00060	531		3	30	1959	1978	20	18
USGS	15109000	00060	531		3	31	1959	1978	20	15
USGS	15109000	00060	531		4	1	1959	1978	20	17
USGS	15109000	00060	531		4	2	1959	1978	20	23
USGS	15109000	00060	531		4	3	1959	1978	20	23
USGS	15109000	00060	531		4	4	1959	1978	20	23
USGS	15109000	00060	531		4	5	1959	1978	20	22
USGS	15109000	00060	531		4	6	1959	1978	20	25
USGS	15109000	00060	531		4	7	1959	1978	20	34
USGS	15109000	00060	531		4	8	1959	1978	20	34
USGS	15109000	00060	531		4	9	1959	1978	20	36
USGS	15109000	00060	531		4	10	1959	1978	20	46
USGS	15109000	00060	531		4	11	1959	1978	20	48
USGS	15109000	00060	531		4	12	1959	1978	20	46
USGS	15109000	00060	531		4	13	1959	1978	20	32
USGS	15109000	00060	531		4	14	1959	1978	20	28
USGS	15109000	00060	531		4	15	1959	1978	20	33
USGS	15109000	00060	531		4	16	1959	1978	20	28
USGS	15109000	00060	531		4	17	1959	1978	20	30
USGS	15109000	00060	531		4	18	1959	1978	20	43
USGS	15109000	00060	531		4	19	1959	1978	20	47
USGS	15109000	00060	531		4	20	1959	1978	20	41
USGS	15109000	00060	531		4	21	1959	1978	20	39
USGS	15109000	00060	531		4	22	1959	1978	20	47
USGS	15109000	00060	531		4	23	1959	1978	20	42
USGS	15109000	00060	531		4	24	1959	1978	20	49
USGS	15109000	00060	531		4	25	1959	1978	20	58
USGS	15109000	00060	531		4	26	1959	1978	20	60
USGS	15109000	00060	531		4	27	1959	1978	20	75
USGS	15109000	00060	531		4	28	1959	1978	20	77
USGS	15109000	00060	531		4	29	1959	1978	20	71
USGS	15109000	00060	531		4	30	1959	1978	20	69
USGS	15109000	00060	531		5	1	1959	1978	20	86
USGS	15109000	00060	531		5	2	1959	1978	20	104
USGS	15109000	00060	531		5	3	1959	1978	20	104
USGS	15109000	00060	531		5	4	1959	1978	20	84
USGS	15109000	00060	531		5	5	1959	1978	20	110
